ReportingMonth,EntryExit,UpperLower,TOTAL VEHICLES
06/01/2014 12:00:00 AM,Entry,Lower Level,1141079
06/01/2014 12:00:00 AM,Exit,Upper Level,760392
06/01/2014 12:00:00 AM,Exit,Lower Level,1812975
06/01/2014 12:00:00 AM,Entry,Upper Level,1319587
05/01/2014 12:00:00 AM,Exit,Upper Level,731023
05/01/2014 12:00:00 AM,Entry,Lower Level,1106597
05/01/2014 12:00:00 AM,Exit,Lower Level,1817430
05/01/2014 12:00:00 AM,Entry,Upper Level,1270282
04/01/2014 12:00:00 AM,Entry,Upper Level,1181556
04/01/2014 12:00:00 AM,Entry,Lower Level,1027606
04/01/2014 12:00:00 AM,Exit,Upper Level,667872
04/01/2014 12:00:00 AM,Entry,Upper Level,1181556
04/01/2014 12:00:00 AM,Exit,Lower Level,1691869
04/01/2014 12:00:00 AM,Entry,Lower Level,1027606
04/01/2014 12:00:00 AM,Exit,Upper Level,667872
04/01/2014 12:00:00 AM,Exit,Lower Level,1691869
03/01/2014 12:00:00 AM,Entry,Lower Level,1041884
03/01/2014 12:00:00 AM,Exit,Upper Level,690502
03/01/2014 12:00:00 AM,Entry,Upper Level,1215785
03/01/2014 12:00:00 AM,Exit,Lower Level,1658205
02/01/2014 12:00:00 AM,Exit,Lower Level,1370335
02/01/2014 12:00:00 AM,Entry,Lower Level,868384
02/01/2014 12:00:00 AM,Exit,Upper Level,561346
02/01/2014 12:00:00 AM,Entry,Upper Level,1001806
01/01/2014 12:00:00 AM,Exit,Lower Level,1775030
01/01/2014 12:00:00 AM,Entry,Upper Level,1172826
01/01/2014 12:00:00 AM,Exit,Upper Level,648743
01/01/2014 12:00:00 AM,Entry,Lower Level,1036484
12/01/2013 12:00:00 AM,Exit,Lower Level,1891765
12/01/2013 12:00:00 AM,Entry,Lower Level,1129366
12/01/2013 12:00:00 AM,Exit,Upper Level,738131
12/01/2013 12:00:00 AM,Entry,Upper Level,1280085
11/01/2013 12:00:00 AM,Entry,Upper Level,1112325
11/01/2013 12:00:00 AM,Entry,Lower Level,962471
11/01/2013 12:00:00 AM,Exit,Lower Level,1617819
11/01/2013 12:00:00 AM,Exit,Upper Level,630767
10/01/2013 12:00:00 AM,Entry,Upper Level,1170641
10/01/2013 12:00:00 AM,Exit,Upper Level,664889
10/01/2013 12:00:00 AM,Exit,Lower Level,1712169
10/01/2013 12:00:00 AM,Entry,Lower Level,1013725
09/01/2013 12:00:00 AM,Exit,Lower Level,1638504
09/01/2013 12:00:00 AM,Entry,Lower Level,977444
09/01/2013 12:00:00 AM,Exit,Upper Level,640625
09/01/2013 12:00:00 AM,Entry,Upper Level,1129512
08/01/2013 12:00:00 AM,Entry,Upper Level,1275065
08/01/2013 12:00:00 AM,Exit,Lower Level,1808899
08/01/2013 12:00:00 AM,Exit,Upper Level,720653
08/01/2013 12:00:00 AM,Entry,Lower Level,1122657
07/01/2013 12:00:00 AM,Entry,Upper Level,1266198
07/01/2013 12:00:00 AM,Exit,Lower Level,1797155
07/01/2013 12:00:00 AM,Exit,Upper Level,720737
07/01/2013 12:00:00 AM,Entry,Lower Level,1128363
06/01/2013 12:00:00 AM,Entry,Lower Level,1083029
06/01/2013 12:00:00 AM,Exit,Upper Level,719880
06/01/2013 12:00:00 AM,Exit,Lower Level,1688181
06/01/2013 12:00:00 AM,Entry,Upper Level,1250703
05/01/2013 12:00:00 AM,Entry,Upper Level,1187877
05/01/2013 12:00:00 AM,Entry,Lower Level,1053332
05/01/2013 12:00:00 AM,Exit,Lower Level,1628153
05/01/2013 12:00:00 AM,Exit,Upper Level,693932
07/01/2014 12:00:00 AM,Entry,Lower Level,1200360
07/01/2014 12:00:00 AM,Entry,Upper Level,1350394
07/01/2014 12:00:00 AM,Exit,Lower Level,1900933
07/01/2014 12:00:00 AM,Exit,Upper Level,777303
08/01/2014 12:00:00 AM,Entry,Lower Level,1181215
08/01/2014 12:00:00 AM,Entry,Upper Level,1356003
08/01/2014 12:00:00 AM,Exit,Lower Level,1888506
08/01/2014 12:00:00 AM,Exit,Upper Level,777872
09/01/2014 12:00:00 AM,Entry,Lower Level,1031687
09/01/2014 12:00:00 AM,Entry,Upper Level,1194487
09/01/2014 12:00:00 AM,Exit,Lower Level,1280754
09/01/2014 12:00:00 AM,Exit,Upper Level,520894
10/01/2014 12:00:00 AM,Entry,Lower Level,1082532
10/01/2014 12:00:00 AM,Entry,Upper Level,1219739
10/01/2014 12:00:00 AM,Exit,Lower Level,1698399
10/01/2014 12:00:00 AM,Exit,Upper Level,709198
11/01/2014 12:00:00 AM,Entry,Lower Level,1043220
11/01/2014 12:00:00 AM,Entry,Upper Level,1193273
11/01/2014 12:00:00 AM,Exit,Lower Level,1605745
11/01/2014 12:00:00 AM,Exit,Upper Level,696737
12/01/2014 12:00:00 AM,Entry,Lower Level,1142758
12/01/2014 12:00:00 AM,Entry,Upper Level,1272376
12/01/2014 12:00:00 AM,Exit,Lower Level,1845590
12/01/2014 12:00:00 AM,Exit,Upper Level,768645
01/01/2015 12:00:00 AM,Entry,Lower Level,1078071
01/01/2015 12:00:00 AM,Entry,Upper Level,1186116
01/01/2015 12:00:00 AM,Exit,Lower Level,1722462
01/01/2015 12:00:00 AM,Exit,Upper Level,682468
02/01/2015 12:00:00 AM,Entry,Lower Level,944080
02/01/2015 12:00:00 AM,Entry,Upper Level,1063550
02/01/2015 12:00:00 AM,Exit,Lower Level,1525199
02/01/2015 12:00:00 AM,Exit,Upper Level,627638
03/01/2015 12:00:00 AM,Entry,Lower Level,1146981
03/01/2015 12:00:00 AM,Entry,Upper Level,1291680
03/01/2015 12:00:00 AM,Exit,Lower Level,1742882
03/01/2015 12:00:00 AM,Exit,Upper Level,749329
04/01/2015 12:00:00 AM,Entry,Lower Level,1120339
04/01/2015 12:00:00 AM,Entry,Upper Level,1239448
04/01/2015 12:00:00 AM,Exit,Lower Level,1748370
04/01/2015 12:00:00 AM,Exit,Upper Level,794054
05/01/2015 12:00:00 AM,Entry,Lower Level,1201027
05/01/2015 12:00:00 AM,Entry,Upper Level,1350944
05/01/2015 12:00:00 AM,Exit,Lower Level,1900134
05/01/2015 12:00:00 AM,Exit,Upper Level,839150
06/01/2015 12:00:00 AM,Entry,Lower Level,1260351
06/01/2015 12:00:00 AM,Entry,Upper Level,1380207
06/01/2015 12:00:00 AM,Exit,Lower Level,1986391
06/01/2015 12:00:00 AM,Exit,Upper Level,823131
07/01/2015 12:00:00 AM,Entry,Lower Level,1269284
07/01/2015 12:00:00 AM,Entry,Upper Level,1380859
07/01/2015 12:00:00 AM,Exit,Lower Level,2080701
07/01/2015 12:00:00 AM,Exit,Upper Level,851802
08/01/2015 12:00:00 AM,Entry,Lower Level,1282776
08/01/2015 12:00:00 AM,Entry,Upper Level,1356856
08/01/2015 12:00:00 AM,Exit,Lower Level,2083527
08/01/2015 12:00:00 AM,Exit,Upper Level,852691
09/01/2015 12:00:00 AM,Entry,Lower Level,1101068
09/01/2015 12:00:00 AM,Entry,Upper Level,1245612
09/01/2015 12:00:00 AM,Exit,Lower Level,1814869
09/01/2015 12:00:00 AM,Exit,Upper Level,792668
10/01/2015 12:00:00 AM,Entry,Lower Level,1145961
10/01/2015 12:00:00 AM,Entry,Upper Level,1290106
10/01/2015 12:00:00 AM,Exit,Lower Level,1885118
10/01/2015 12:00:00 AM,Exit,Upper Level,829639
11/01/2015 12:00:00 AM,Entry,Lower Level,1119582
11/01/2015 12:00:00 AM,Entry,Upper Level,1249378
11/01/2015 12:00:00 AM,Exit,Lower Level,1860838
11/01/2015 12:00:00 AM,Exit,Upper Level,801073
12/01/2015 12:00:00 AM,Entry,Lower Level,1143548
12/01/2015 12:00:00 AM,Entry,Upper Level,1315644
12/01/2015 12:00:00 AM,Exit,Lower Level,1982433
12/01/2015 12:00:00 AM,Exit,Upper Level,839943
01/01/2016 12:00:00 AM,Entry,Lower Level,1040653
01/01/2016 12:00:00 AM,Entry,Upper Level,1300254
01/01/2016 12:00:00 AM,Exit,Lower Level,1881936
01/01/2016 12:00:00 AM,Exit,Upper Level,820796
02/01/2016 12:00:00 AM,Entry,Lower Level,1002266
02/01/2016 12:00:00 AM,Entry,Upper Level,1227432
02/01/2016 12:00:00 AM,Exit,Lower Level,1662707
02/01/2016 12:00:00 AM,Exit,Upper Level,789613
03/01/2016 12:00:00 AM,Entry,Lower Level,1227821
03/01/2016 12:00:00 AM,Entry,Upper Level,1425342
03/01/2016 12:00:00 AM,Exit,Lower Level,1946367
03/01/2016 12:00:00 AM,Exit,Upper Level,928073
04/01/2016 12:00:00 AM,Entry,Lower Level,1190465
04/01/2016 12:00:00 AM,Entry,Upper Level,1372699
04/01/2016 12:00:00 AM,Exit,Lower Level,1892099
04/01/2016 12:00:00 AM,Exit,Upper Level,891369
05/01/2016 12:00:00 AM,Entry,Lower Level,1327973
05/01/2016 12:00:00 AM,Entry,Upper Level,1504152
05/01/2016 12:00:00 AM,Exit,Lower Level,2070880
05/01/2016 12:00:00 AM,Exit,Upper Level,978836
06/01/2016 12:00:00 AM,Entry,Lower Level,1420990
06/01/2016 12:00:00 AM,Entry,Upper Level,1545958
06/01/2016 12:00:00 AM,Exit,Lower Level,2151385
06/01/2016 12:00:00 AM,Exit,Upper Level,975678
